year,title,inventor_estimates,location_estimates
-2000000,Bipedality,"['Auman', 'Plato', 'Suppose', 'Bears', 'Bipedality', 'Raymond Arthur Dart', 'Dart', 'Donald Johanson', 'Lucy', 'Lucy Afars', 'Australopithecines', 'Africa', 'Lucy Bipedality']","['Latin', 'Greek', 'Plato', 'Long', 'South African', 'South African Australopithecus', 'Greek American', 'Australopithecus']"
-500000,Stone Tools,"['Homo', 'Louis Seymour Bazett Leakey', 'Mary', 'Homo Latin', 'Homwo', 'Homo Hominids']","['English', 'Tanzania', 'Homo', 'Homo Homo']"
-200000,Fire,"['Marie Eugene Dubois', 'Dubois', 'Davidson Black', 'Homo', 'Dubois Homo', 'Earth', 'Earth Homo', 'Fire', 'Meat', 'Finally']","['Homo', 'Homo Homo', 'Homo Africa', 'Africa', 'Europe', 'Asia', 'Indonesian', 'Homo Indonesian', 'Java', 'Dutch', 'Greek', 'Peking', 'Canadian', 'Greek Homo', 'Dubois', 'Asian', 'Indonesian Homo', 'Homo Asia', 'Peking Homo']"
-20000,Religion,"['Neander Valley', 'Paul Broca', 'Homo', 'Neanderthals']","['Homo', 'Germany', 'German', 'Neanderthal', 'Homo Homo', 'Neanderthal French', 'Homo Africa', 'Eurasia']"
-20000,Art,"['Modern', 'Homo', 'Tierra', 'Fuego', 'Marcellino', 'Altamira Cave', 'Bulls']","['Neanderthal', 'Homo', 'Australia', 'Asia', 'North America', 'Asia Japanese', 'South America', 'Spanish', 'Sautuola', 'Spain']"
-12000,Bows and Arrows,['Bows'],[]
-12000,Oil Lamps,['Wood'],[]
-8000,Animal Domestication,['Dogs'],"['Kirkuk', 'Iraq', 'Middle East']"
-7000,Agriculture,"['Herding', 'Agriculture', 'Adam', 'Abel', 'Abel Agriculture', 'Jeast', 'Farmers', 'Jarmo', 'Robert J. Braidwood']","['Iraq', 'Eden', 'Cain', 'Cain Iragq', 'American']"
-6000,Pottery,"['Pottery', 'Artisans']",[]
-6000,Linen,['Textiles'],['Flax']
-6000,Rafts,['Water'],['Human']
-4000,Sickles,"['Irrigation Agriculture', 'Rainfall', 'Whereas']","['Latin', 'Tigris', 'Iraq', 'Sumeria', 'Egypt']"
-4000,Scales,[],"['Trade', 'Egypt']"
-4000,Copper,"['Titus Lucretius Carus', 'Christian Jiir-', 'Stene Age', 'Silver', 'Copper']","['Homo', 'Roman', 'Danish', 'Paleolithic', 'Neolithic', 'Latin', 'Middle Stone', 'New Stone', 'Greek', 'Cyprus']"
-3600,Sundials,['Egypl'],['Egypt']
-3500,Bronze,"['Bronze', 'Increasingly', 'Homer', 'Iliad', 'Egypt', 'Aristotle', 'Hippocrates', 'Rome']","['Copper', 'Persian', 'Middle East', 'Greek', 'Trojan', 'Middle Eastern', 'European', 'Crete', 'Chinese', 'Phoenician', 'Greeks', 'Greeks Greeks', 'Greek Greek', 'Greece', 'Mediterranean', 'Greek Europe']"
-3500,Wheeled Carts,[],['Sumeria']
-3500,River Boats,"['Water', 'Egypt', 'Moses', 'Egypt Egypt', 'Sinai']","['Tigris', 'Sumeria', 'Greek', 'Sumerian', 'Egyptian', 'Canaan', 'Lebanon', 'Egypt']"
-3100,Writing,"['Sumeria', 'Egypt']","['Greek', 'Egyptian', 'Greek Greeks']"
-3100,Ploughs,[],['Sumeria']
-3000,Nations,['Manetho'],"['Egypt', 'Egypt Egypt', 'Menes', 'Egyptian', 'Egypt Egypt Egyptian']"
-2800,Candles,[],['Oil']
-2650,Calendars,['Certain'],"['Egyptian', 'Greeks', 'Egyptians', 'Egyptian Egyptian']"
-2500,Stone Monuments,"['Djoser', 'Dynasty', 'Imhotep', 'Larger']","['Thanks', 'Egyptian', 'Egyptian Egyptian', 'Greek', 'Egyptian Egyptian Cheops', 'Greeks', 'Egypt']"
-2500,Literature,"['Homer', 'Odyssey', 'George Smith', 'Gilgamesh', 'Noah', 'Flood', 'Gilgamesh LE']","['Ashurbanipal', 'Assyrian', 'Sumerian', 'Tigris']"
-2340,Glass,['Glass'],"['Glass', 'Egyptian']"
-2000,Empires,"['Sumeria', 'Egypt', 'Euphrates', 'Egypt Sumeria', 'Euphrates Semitic', 'Arabic', 'Egypt Elam', 'Sargon']","['Tigris', 'Sumerian', 'Egyptian', 'Tigris Sumeria', 'Tigris Akkadians', 'Akkadian', 'Sumerian Sumerian', 'Akkadian Sumerian', 'Tigris Sargon', 'Agade', 'Akkadian Sumeria', 'Assyria', 'Tigris Egyptian']"
-1800,Horses,"['Ammal', 'Armies']","['Iran', 'Mitanni', 'Iraq', 'Turkey']"
-1800,Mathematics and Astronomy,"['Again', 'Moon', 'Venus', 'Mars', 'Jupiter', 'Babylonians', 'Astrology']","['Canaan', 'Egypt', 'India', 'Greek', 'Saturn', 'Moon', 'Greeks']"
-1775,Fermentation,[],['Fruit']
