year,title,inventor_estimates,location_estimates,description
-2000000,Bipedality,"['Auman', 'Plato', 'Suppose', 'Bears', 'Bipedality', 'Raymond Arthur Dart', 'Dart', 'Donald Johanson', 'Lucy', 'Lucy Afars', 'Australopithecines', 'Africa', 'Lucy Bipedality']","['Latin', 'Greek', 'Plato', 'Long', 'South African', 'South African Australopithecus', 'Greek American', 'Australopithecus']","The first human advance was biological. It consisted of becoming human.

We might ask what makes a human being human. What part is sufficiently Auman so that we can at once point to it and say, “This is human. Without it, this organism would be something else.”

The human being of today has, of course, evolved many characteristics that are now considered human, so many that it is difficult to point to any one of them and consider it the key. What we must do, then, is go back in time, watching humanity become more and more primitive, less human, more apelike.

Yet we must stop at some point where our ancestors are still more nearly human than they are apish. Any organism that is more human than ape is called a hominid (from a Latin word for “man’’). Any organism that is more ape than human is called a pongid (from a Congolese word for “ape”’).

Therefore, we might recast the first sentence of this section to read “The

first hominid advance was biological. It consisted of becoming hominid.”

As we go back in time, studying the bones and teeth (all that remain) of earlier forms of hominid life, we come to an organism that was perhaps the size of a modern chimpanzee or even a little smaller and with a brain that was no larger. Yet in one crucial respect, it was much closer to the human than to the ape. This human characteristic is so obvious that, if we were to see the organism in real life, we would at once say, “This is no ape.”

It was the first hominid, and what made it so was its bipedality. It walked on two legs, as we can tell from the shape of its spinal column, its pelvic girdle, and its thighbones.

The fact that human beings walk on two legs strikes us as characteristically human. We are bipeds (from Latin words for “two legs”), while other mammals are quadrupeds (four legs).

Of course birds walk, run, or hop on two legs, and the Greek philosopher Plato (ca. 427—ca. 347 B.C.) therefore defined a human

being as a “‘featherless biped.” That is insufficient, however, for there are bipeds with fur (kangaroos and jerboas) and bipeds with scales (various dinosaurs), which Plato knew nothing about.

Let’s consider bipedality, then, to see what makes human bipedality different from other types.

Animals that are bipedal are often restricted to two legs because two others have been devoted to some other (and preferred) form of locomotion. Most birds are designed to be flyers, and the forelegs have become wings for that purpose. Penguins are swimmers, and the forelegs have become flippers. In either case, walking, running, or hopping is secondary.

There are, of course, nonflying birds like ostriches, for which walking or running on two legs is the only means of locomotion. In such cases, the body is designed for it and is essentially horizontal, so that there are roughly equal amounts of it at front and rear. With the two legs centered, bipedality is a mechanically easy thing to

maintain. This is also true of bipedal reptiles and mammals like the tyrannosaur and the kangaroo. Long tails provide balance, and the body remains essentially horizontal.

Suppose, though, a quadruped’s body ends at the hips and there is no tail to act as a balance. In that case, the only way the body'’s center of gravity can be brought above the hind legs is to tip the entire body into a vertical position.

Some tailless animals actually do this. Bears and chimpanzees can stand upright on their hind legs and even walk about in this fashion, but they are clearly uncomfortable doing so and prefer to let the forelegs share the work. Penguins, too, hold their bodies upright, but they are swimmers and clumsy on land. Though they can walk long distances if they must, they prefer to belly-whop on ice when they can.

The human being, then, is a tailless, habitual, and comfortable biped. But what is it that makes the human a comfortable walker on two legs?

It is that the spinal column, just above the pelvis, bends backward in human beings, assuming a shallow S-shape and adding a spring to the human walk that makes it comfortable.

No other organism has that backward bend of the spine in the small of the back. Bipedality also produces problems. There are slipped disks, inflamed sinuses, and accidental falls, for instance. None of these would be likely were it not that human beings are still not entirely adapted to walking upright.)

The earliest hominids were first identified by an Australian-born South African anthropologist, Raymond Arthur Dart (1893— 1988), to whom a skull, rather human-looking except for its extraordinarily small size, was brought from a South African limestone quarry in 1924. Dart, in 1925, named the type of organism to which the skull belonged Australopithecus (from Greek words meaning “‘southern ape”). Further finds made it clear that it was not an ape but a hominid, and at least four different species have now been identified, which are lumped together as australopithecines.

In 1974 an American anthropologist, Donald Johanson, unearthed an unprecedentedly complete and ancient skeleton of an australopithecine female, who was given the name Lucy. (You can tell a female from a male by the shape of its pelvis.) [t was possibly

as much as four million years old judging from the age of the rocks in which it was found.

Lucy is an example of Australopithecus afarensis, because Afars is the name of the region in east-central Africa where her remains were found. Australopithecines existed only in castern and southern Africa, so east-central Africa may have been the cradle of humanity.

Lucy was the size of a chimpanzee and slighter in build. Her australopithecine relatives seem to have ranged between 3 and 4 feet in height and to have weighed perhaps 65 pounds. Their brains were no larger than a chimpanzee's and about a quarter the size of our own.

The early australopithecines probably lived much as chimpanzees do, may have spent their time partly in trees, must have been very largely vegetarian, and undoubtedly could not speak. However, they were as bipedal as we are and walked as casily and as comfortably on their hind legs as we do.

Why did the australopithecines develop the backward bend in the spine? Why did the processes of evolution invent the hominid, in other words?

Four million years ago the Earth had been warm for quite a while, and large tropical animals, such as elephants, rhinoceroses, and hippopotamuses, tended to lose their hair because such insulation kept them too warm. For some reason, the hominids also lost their hair though they were much smaller than other hairless mammals. We don’t know at what stage hair was lost.

The Earth of the australopithecines was turning cooler, however. The forests shrank and were replaced by grasslands. Those organisms whose habitat was the forest and who did not give up the trees naturally retreated with the forest.

Some arboreal prehominids managed to adapt to the grasslands in east-central Africa and to spend more and more time out of the trees. It must have been a difficult transition. As they spent more time on

the ground, they had an increasing tendency to rise to their hind legs and peer about over the tall grass, searching for food or watching out for predators. Those who could stand upright more easily and could do so for longer intervals were better able to survive.

Even a slight crook in the spine, which made standing upright slightly easier, gave those who had it a better chance of surviving, and of having children to inherit that crook. What we call natural selection would thus drive the prehominids toward bipedality and a true hominid character.

Bipedality had side effects that were also beneficial and that reinforced the natural-selection drive. The forelimbs were freed for duty as something other than support. The freed hands could more easily manipulate portions of the environment, feel them,

and bring them close to the eyes, ears, and nose, so that the brain was continually flooded with sensations.

Any change that made the brain a bit larger or more complex made it possible for the brain to handle the flood of sensation more efficiently, and this led to an improved chance of survival. Thus, natural selection introduced a drive for bigger and better brains.

The early australopithecines, with a brain as large as that of a chimpanzee but with a body that was slighter, already had a larger brain-to-body ratio than any pongid then or since. Since the brain-tobody ratio is a crucial factor in what we call intelligence (provided the brain is reasonably large), the australopithecines were probably the most intelligent land animals existing in their time.

"
-500000,Stone Tools,"['Homo', 'Louis Seymour Bazett Leakey', 'Mary', 'Homo Latin', 'Homwo', 'Homo Hominids']","['English', 'Tanzania', 'Homo', 'Homo Homo']","Sometimes, we think of the human being as a toolusing animal. Tool-using is not really unique to human beings, however. For exam-

ple, sea otters routinely smash shellfish against a rock they carry for the purpose on their abdomens as they float belly-up. A long litany of other examples could also be given.

If we change that to tool-making animal, we are somewhat better off, but not entirely. Chimpanzees have been seen to strip leaves from twigs and then use the bare twigs as de vices for capturing termites, which to them are tasty snacks.

Undoubtedly, australopithecines could do anything that chimpanzees could do. We have no evidence, but we can be fairly certain that they used tree branches and long bones as clubs. They could surely throw rocks or use them as sea otters do.

The australopithecines may have existed on Earth for three million years, not becoming finally extinct till as late as 1,000,000 B.c. For the final third of their existence, though, they were no longer the only hominids. Some australopithecines had evolved to the point where they had become sufficiently human to be placed in the same genus with ourselves.

About two million years ago, in other words, genus Homo came into existence. For a time, it coexisted with the australopithecines, but there was bound to be conflict between them, and in this, the larger and brainier hominids won out, contributing (very largely, perhaps) to the extinction of the australopithecines.

In the 1960s, the English anthropologist Louis Seymour Bazett Leakey (1903—1972), his wife, Mary, and their son, Jona-

than, located remains of the oldest of the genus Homo in the Olduvai Gorge, in what is now Tanzania. The hominids thus uncovered were named Homo habilis (Latin for “able man,"" because with them were discovered objects that seemed to indicate that they made simple stone tools).

Homwo habilis was smaller than some of the larger species of australopithecines. When, in the summer of 1986, fossil remains of Homo habilis were discovered that were some 1.8 million years old (the first time that both skull fragments and limb bones of the same individual of that species had been located), they seemed to represent a small, light adult about 3'» feet tall and with arms that were surprisingly long.

Though members of Homo habilis may have been small, they had more rounded heads than any of the australopithecines and larger brains, nearly half as large as those of modern human beings. They had thinner skull bones, and based on the brain configuration, if they could not talk, they could at least make a greater variety of sounds. Their hands were more like our modern hands, and their feet were

completely modern. Their jaws were less massive, so that their faces looked less apelike.

These creatures apparently used stone tools to chip pieces of {lint and so create a sharp edge. This meant that for the first time, hominids had sharp edges in quantity and did not have to depend on the chance finding of one. Moreover the edges could be made truly sharp, and the sharpness could be renewed when the rock was blunted.

These stone knives increased the food supply. Homo habilis could not tear away at the tough hides of animals, as fanged predators such as the various cats, dogs, and bears could. Without knives, hominids had to make do with carcasses that had already been mangled by other predators and to make off with what they could scavenge.

With knives, however, Homo habilis had artificial fangs that could slit hides and scrape the meat off hides and bones. What's more, Homo habilis no longer had to scavenge. Hominids could now kill animals on their own, even fairly large animals. And once they caught on to the trick of tying stone axes to wooden branches and creat

ing the first crude spears, they could stab animals at a distance. If the spears were thrown, the distance could be made long enough

to obviate immediate retaliation.

Hominids became hunters and killed off the competing australopithe-

cines, no doubt, so that for the last million years, all hominids, without exception, have been part of genus Homo.

"
-200000,Fire,"['Marie Eugene Dubois', 'Dubois', 'Davidson Black', 'Homo', 'Dubois Homo', 'Earth', 'Earth Homo', 'Fire', 'Meat', 'Finally']","['Homo', 'Homo Homo', 'Homo Africa', 'Africa', 'Europe', 'Asia', 'Indonesian', 'Homo Indonesian', 'Java', 'Dutch', 'Greek', 'Peking', 'Canadian', 'Greek Homo', 'Dubois', 'Asian', 'Indonesian Homo', 'Homo Asia', 'Peking Homo']","By 1,600,000 B.c., Homo habilis was gone. For one thing, it had evolved into a new species, Homo erectus, with members about as large and as heavy as modern human beings. If any examples of Homo habilis existed after the new species had established itself, they didn'’t last long.

Between 1,000,000 B.c. and 300,000 B.c., Homo erectus was the only hominid in existence. It was the first hominid that could, in some cases, attain a height of as much as 6 feet and weigh over 150 pounds. The brain was larger, too, sometimes three-fourths as heavy as that of modern human beings.

Homo erectus made much better stone tools than had been made before. As hunters, its members were capable of taking on the biggest animals they could find. They were the first hominids who could hunt mammoths successfully.

Homo erectus made

two particularly enormous advances.

All the hominids, for as much as three and a half million years, had been confined to the southeastern half of Africa. Homo erectus was the first hominid to expand that range significantly. By 500,000 B.c. Homo erectus had moved into the rest of Africa, into Europe and Asia, and even into the Indonesian islands.

In fact, the first discoveries of the remains of Homo erectus were made on the Indonesian island of Java, where the Dutch anthropologist Marie Eugene Dubois (1858—-1940) discovered a skullcap, a femur, and two teeth in 1894. No hominid with so small a brain had yet been discovered, and Dubois named it Pithecanthropus erectus (from Greek words meaning “‘erect ape-man’’).

Similar finds were made near Peking, beginning in 1927, by a Canadian anthropologist, Davidson Black (1884-1934). He named his hominid Sinanthropus pekinensis

(Greek for ““Chinaman from Peking”’).

Eventually it was recognized that both sets of remains, along with others, were of the same species and deserved to belong to genus Homo. Dubois’s term erectus was kept, even though hominids had been walking erect for at least two and a half million years before Homo erectus had evolved. This was not known in Dubois’s time, however.

By the time Homo erectus had evolved, the Earth was in a glacial period. When the glaciers were at their peak, they withdrew so much water from the sea that the sea level dropped as much as 300 feet, exposing the continental shelves under the shallow sections. It was this that made it possible for Homo erectus to wander from the Asian continent to the Indonesian islands.

The cold weather enforced new habits. Homo erectus traveled in bands, as earlier hominids must have, but made shelters by

building up stones to break the wind, or by suspending hides from a central pole. These were the first crude homes. Where caves existed, Homo erectus found shelter there. The first traces of Homo erectus in Asia (Black’s findings near Peking) were in a filled-up cave.

The cave near Peking had traces of campfires. This meant that fire had been “discovered”” some five hundred thousand years ago. Here is a characteristic that marks off human beings from all other organisms. Every human society in existence, however primitive, has understood and made use of fire. No living creature other than human beings uses fire in even the most primitive fashion.

I have put discovered in quotation marks, for fire was not discovered in the usual sense. Lightning could start a fire ever since Earth’s atmosphere gained enough oxygen to sustain one and Earth's land surface possessed a forest cover that could burn, and that means for some four hundred million years. From that fire, then as now, any animal capable of fleeing would flee.

By the discovery of fire, then, we really mean its taming. At some time, Homo erectus learned how

to retrieve some burning object from the edge of a naturally caused fire, keep the fire alive by feeding it judicious amounts of fuel whenever it showed signs of dying down, and make good use of it.

How this happened we don’t know. My own guess is that it began when children grew fascinated by leaping flames. With their overactive curiosity, and with the lack of bitter experience of what happens when one is burnt, they might be more likely to play with it than adults would be. Presumably, the nearest adult would snatch the child away from the fire and stamp it out. On the other hand, the time might come when an adult, more venturesome than most, might see the advantage of continuing the play in a more purposeful manner.

The use of fire changed human life completely. For one thing, it gave light in the dark and warmth at any time. This made it possible to extend activity into nighttime and winter, which would be particularly important in a glacial period for it meant Homo erectus could extend its range into the cooler regions.

Of course with fire alone one is condemned in cold weather to hug the hearth, but a hunting soci-

ety could easily get the notion of scraping an animal hide clean and wrapping oneselfin it. In this way, animal fur would replace the hair human beings had lost.

Fire was also useful as a means of protection from other animals, even the fiercest. A fire in a cave or within a circle of stones would keep the predators away. They might snarl and slink about the outskirts, but if they were not intelligent enough to stay away from fire, one experience of its nearness was all they would need. In fact, Homo erectus could now carry burning branches to scare game and send it stampeding into traps and off cliffs.

Then, too, fire made it possible to cook food. This is more important than might appear. Meat is tenderer and tastier if roasted. What's more, roasting kills parasites and bacteria so that the meat is safer to eat. Eventually fire made plant food, otherwise inedible, supremely edible. Try eating rice fresh from the stalk, or uncooked grain of any kind, and you'll understand what a little application of heat from a fire can do.

Finally, fire made possible various chemical changes in inanimate matter, such as the smelting of

o

metals. In short, fire introduced humanity’s first age of comparatively “hightech.”

To begin with, of course, fire could be obtained only after it had been started by natural means. Once one had a fire, it had to be kept burning continuously, and if it ever died out, the search for another fire had to be instituted at once. If there was not a nearby tribe from

which fire could be obtained (assuming they were friendly enough to grant it —and they probably would be, for it might be their turn next) then it would be necessary to wait for a natural fire again and hope that conditions would be such that some could be taken safely.

The time came, however, when techniques were developed for starting a fire where none had been be-

fore. This could be done by friction: by turning a pointed stick in a depression in another stick, a depression that contained very dry shreds of wood, leaves, or fungus (tinder). The heat of friction might eventually ignite the tinder. We don'’t know when such methods were first developed, but the technique for starting a fire represents another enormous step forward.

"
-200000,Religion,"['Neander Valley', 'Paul Broca', 'Homo']","['Homo', 'Germany', 'German', 'Neanderthal', 'Homo Homo', 'Neanderthal French', 'Homo Nean', 'Africa', 'Eurasia']","By 200,000 B.c., the last individuals who might be considered members of Homo erectus were dead

and the species was extinct.

By then, though, some had evolved into hominids whose brains were every bit as large as ours, although they were somewhat differently proportioned, less massive in front and more massive in the rear. They had first appeared not long before this time and were probably instrumental in bringing about the end of the older species.

The first traces of such hominids were discovered in 1856, in the valley of the Neander River in western

Germany. Neander Valley is Neanderthal in German, and the skeletal remains were referred to as Neanderthal man at first, or simply Neanderthals.

These were the first hominids to be discovered. They were clearly different from modern human beings. Their skulls were distinctly less human than our own. They had pronounced eyebrow ridges, large teeth, protruding jaws, and receding foreheads and chins.

Because they were the first hominids to be discovered, and because the Western world still believed strongly that the Earth was only a few thousand years old (as the Bible seemed to imply), there was a certain reluctance to accept the Ne-

anderthal bones as remains of an early form of Homo sapiens. Some preferred to consider them remains of ordinary members of Homo sapiens who were suffering from some sort of bone disease or other abnormality.

When more examples of Neanderthal skeletons were found and all had the same kind of skulls, however, the notion of abnormality could not be maintained. The French anthropologist Paul Broca (1824—1880) marshalled the arguments in favor of Neanderthals being a more primitive form of life than we ourselves, and that turned the tide.

The formal name for the Neanderthals was at first Homo neandertha-

lens S

but they were so like

us in all but a few details of

the skull that they were fi-

nally recognized as being of

our species. And why not? There is evidence that they may have interbred with human beings of the present type. They are now referred to as Homo sapiens neanderthalensis and are considered one of the two known subspecies of Homo sapiens. We moderns are the other.

The Neanderthals lived from 200,000 B.c. to 30,000

were scavenged by preda tors and what was left over rotted. The fact that Nean derthals buried their dead, thus preserving them from scavengers, 1f not from decay bacteria, tends to show that they valued life somehow, felt affection,

ired for individuals

and Sometimes the dead wert old and crippled and could only have lived as long as they did with the lovir help of others of the tribe

What's more, food and flowers were often buried with the corpse, and this seems to indicate that Neanderthals fe ued on an i after death. If they felt that there was life after death, then this might indicate the

ife continidual basis

first stirrings of what we

can call religion—a [eeling that there is more to the Universe than is apparent

B.C. in Africa and Eurasia. to the senses They lived during gl times and hunted the mammoth, the woolly rhinoc

"
-20000,and the,[],[],"bear. Their stone tools were

al

eros,

nt ¢

greater in variety and more delicate and precise than had ever been seen before They definitely knew how to start fires.

They were the first hominids to bury their dead. Earlier hominids, like nerally, simply left their dead lying where

animals

they had fallen so that they

"
-20000,Art,"['Modern', 'Homo', 'Tierra', 'Fuego', 'Marcellino', 'Altamira Cave', 'Bulls']","['Neanderthal', 'Homo', 'Australia', 'Asia', 'North America', 'Asia Japanese', 'South America', 'Spanish', 'Sautuola', 'Spain']","Sometime after 50,000 B.c., a variety of Neanderthal existed with less pronounced eyebrow ridges, even in male adults, with a high forehead and a distinct chin, and with smaller teeth. In short, this was the kind of hominid, quite exactly, that we are. We are Homo sapiens sapiens, and we are sometimes referred to as modern man, though modern human beings is more appropriate terminology to make it clear that men, women, and children are meant and not only men.

Between 50,000 B.c. and 30,000 B.c., the two varieties of Homo sapiens coexisted, but by the latter date, some interbreeding and probably a great deal of slaughter had put an end to the Neanderthals, so that for the last thirty thousand years or so, all living hominids have been of the modern type.

Modern human beings were extremely successful. For the first time, they extended the range beyond where Homo erectus had left it. Between 40,000 B.c. and 30,000 B.c., human beings took advantage of the

existence of land bridges that the fall in sea level had produced. They entered Australia from southeastern Asia, and North America from northeastern Asia. No hominids had existed in either continent before. They also found their way to the Japanese islands.

The new lands were steadily overrun, and by 10,000 B.c. human beings had reached the southernmost part of South America, and even Tierra del Fuego, the island to the south of that continent. All the continental areas except Antarctica and the glaciated areas in the north were settled.

Human beings were hunters, of course, and they had developed rituals to improve their success. One, apparently, was to draw pictures of animals being successfully hunted, in the conviction, perhaps, that life would imitate art, or that the spirits that animated animals would be mollified in this way and would cooperate.

In 1879, a Spanish archaeologist, Marcellino de Sautuola (d. 1888), was excavating Altamira Cave in northern Spain, when his

twelve-year-old daughter, who was with him, spied paintings on the ceiling and cried out “‘Bulls! Bulls!” There were paintings of bison, deer, and other animals in red and black, drawn perhaps as long ago as 20,000 B.c.

The drawings spoke highly of the artists’ skill. If anything were needed to show that early human beings were our intellectual equals, this would do. In the last twenty millennia, we have gained enormous knowledge and experience, but we are not one whit more human than those ancient cave artists.

So excellent was the art, in fact, that many people refused to believe it was truly ancient. Many felt it to be a fraud of some sort, a modern hoax. It was only with the finding of other caves and other cave paintings that the art was finally accepted as ancient.

The cave paintings were found in remote places and were invisible except by artificial light, so that it is believed they were drawn for religious and ritualistic purposes rather than for display. Neverthe-

less, they are clearly the re-

sult of infinite pains, and it

is hard to believe that the artists did not derive joy from their work.

"
-12000,Bows and Arrows,['Bows'],[],"In some of the early art, there are clear depictions of bows and arrows being used. How old the bow and arrow are is uncertain, but they were in use by 20,000 B.C. at least.

The bow and arrow is an important device because it is the first one invented by human beings in which energy is slowly stored and then released all at once. It made possible attack from a greater distance than with a thrown spear and so was the first truly long-distance weapon.

The value of attacking an infuriated animal much larger than yoursell from as great a distance as possible is clear.

Bows and arrows were eventually used by humans against other humans (as has been true of any object capable of inflicting damage, no matter what the purpose for which it might originally have been designed). The bow remained a prime weapon in warfare right down to the beginning of the fifteenth century.

"
-12000,Oil Lamps,['Wood'],[],"A campfire of burning wood or brush gives light, but it is not portable. It cannot give light precisely where that light might be needed.

Wood, however, is not the only possible fuel. People when roasting meat might well have noticed that the fat dripped and flamed.

A smaller fire, then, in more concentrated form, might be obtained by dipping some porous wood in oil and setting it ablaze, thus forming a torch. Still more convenient would be some oil in a container (a hollowed-out stone, for instance) with a wick of some plant fiber inserted into it. The oil would soak into the wick and would burn at its end. It could be carried from place to place to suit one's needs.

There are indications that primitive lamps of this sort may have been in use as long ago as 20,000 B.c.

"
-8000,Animal Domestication,"['Dogs', 'Herding']","['Kirkuk', 'Iraq', 'Middle East']","In the 1950s, fossil remains of dogs were found along with remains of humans in caves near Kirkuk in what is now northern Iraq. They dated from about 12,000 B.C.

How dogs came to be domesticated is not known, of course. My own guess is that, again, children were

| B

responsible. A child could form a close bond with a puppy that had been found abandoned, or that was left over when the mother was killed either in self-defense or for food. Once the bond was formed, the child would object strenuously to the use of the puppy as food, and parents might oblige.

It would quickly have turned out that dogs, being hunters and pack animals,

will accept a human master as the pack leader. Dogs would go hunting with their masters, help in killing the game, wait for the human beings to take what they wanted, and be satisfied to be thrown a minor share.

In this way human beings, for the first time, obtained the services of another species of animal.

By 10,000 8.c., another step had been taken, with  LRt

the domestication of goats in the Middle East. The goats would be cared for, fed, and encouraged to reproduce. They would supply milk, butter, and cheese and, by dint of judicious culling, meat. What’s more,

since goats eat grass and other substances humans find inedible, the food supply was increased at no cost. (Dogs have to be given food that would otherwise fill human stomachs.)

Until then, people had

found their food by hunting and gathering, with all the insecurities attendant on that. Herding provided a much more secure food

supply.

"
-7000,Agriculture,"['Agriculture', 'Adam', 'Abel', 'Abel Agriculture', 'Jeast', 'Farmers', 'Jarmo', 'Robert J. Braidwood']","['Iraq', 'Eden', 'Cain', 'Cain Iragq', 'American']","Human beings led a nomadic life. As long as hunting was a major source of food, they had to be prepared to follow migrating herds of animals. Even if they lived on plants and on nonmigrating animals, a tribe lingering in one place too long would consume the available food and have to move elsewhere for fresh foraging.

Even when human beings became herders, they remained nomads. The herds had to be taken to fresh pastures now and then, either because of seasonal changes or because of overgrazing.

About 8000 B.c., however, in the same region where animals were first domesticated, something new arrived, heralding a

change greater than any since the first use of fire.

What it amounted to was that plants were domesticated. Somehow it occurred to human beings to plant seeds deliberately, to wait for them to grow, to water them, and to wait for them to ripen while destroying competing plants. Then the plants could be harvested and would serve as food.

It was tedious and back-breaking work, but the net result was that a great deal of food could be obtained, far more than by hunting and gathering, or even herding, since plant life is more copious than animal life.

The coming of herding and agriculture, particularly agriculture, meant that a given area of land could support a larger pop-

ulation than before. There was less starvation, more children survived, and the population increased.

Agriculture began in northern Iraq where wheat and barley grew wild, and it was these that were domesticated. The kernels of grain could be ground into flour that could be stored for months on end without spoiling and could be baked into a tasty and nutritious bread.

Despite the increase in the food supply, farmers must have been very conscious of their labor, a kind of slavery foisted upon them, which even the use of animals didn’t much mitigate. The tale of the Garden of Eden in the Bible may be the product of farmers who remembered with nostalgia a kind of “golden age” when human beings hunted

and gathered in freedom and comparative idleness and wondered what had happened to evict them from this Elysium and force them to earn their bread by the sweat of their brow.

Then too, Adam'’s first two sons were depicted as Abel, a herder, and Cain, a farmer. The farmers increased in population faster than the herders did, and we can well imagine that areas devoted to farming spread and steadily took up space that had earlier been freely used by herders. (The same thing happened in the American West, when the farmers settled the land and fenced in their plots to the discomfiture of the nomadic cowboys.) No wonder the Bible pictures Cain as killing Abel.

Agriculture, for the first time, condemned human beings to a sedentary existence. Once a farm was established, there could be no further wandering. The farmers had to remain with the farm, which was fixed in one place.

A sedentary life had its dangers. As long as human beings hunted and gathered, or even herded, danger could be avoided. If a hungry, marauding tribe approached, intent on taking what food they could find, the tribe already pres-

ent, if they decided fighting would be too dangerous, could always flee.

Farmers could not run, at Jeast not without abandoning their farms and seeing their lifework ruined and themselves faced with starvation. Once the population had increased, thanks to agriculture, they could not possibly find enough food to maintain themselves except by continuing with agriculture— they had a tiger by the tail.

Farmers therefore had to be prepared to fight at whatever cost, and they gathered together for mutual self-protection. They would find a site on an elevation (so that they could throw missiles downward, whereas an enemy would have to throw them upward, with lesser effect) and with a secure water supply (you can go without food for a period of time but not without water). There they would build houses and surround them with a protective wall. The result would be a city, and the inhabitants would be city-dwellers, or citizens.

In northern Iragq, for instance, near the site where herding and agriculture developed, are the remains of a very ancient city, founded perhaps in 8000 B.c., at a site called Jarmo. It is a low mound into which, be-

ginning in 1948, the American archaeologist Robert J. Braidwood dug carefully. He found the remains of houses built with thin walls of packed mud and divided into small rooms. The city may have held no more than a hundred to three hundred people, but cities grew rapidly larger.

Agriculture made it possible for farmers to produce more food than their own families needed. This meant that pes; ‘¢ could do things other than farming —for example, engage in artisanry or art—and trade their products for some of a farmer’s excess food. For the first time, human beings could find time to think of something other than the next meal. In addition, living in close quarters in a city, they could interact easily, and the innovations and ideas of one could be rapidly transmitted to the others.

As a result, the coming of agriculture and of cities meant the coming also of a new and more complex way of life, which we call civilization (from a Latin word for “city-dweller”). The civilized area was small at first, but it spread outward steadily until it now occupies virtually the entire world.

"
