ID	Year	Title	Description	Inventor	Location	Dependencies	Field	URL		
biped	4000000 BCE	Bipedal species	Free hands allowed hominids to manipulate objects, bring them closer to our senses and thus increase brain capacity, priming the feedback loop.				General			
stone-tool	2000000 BCE	Stone tools	Crows are known for tool use, and chimps can fashion tools out of sticks. Humans learned to sharpen stones into edges and points.			biped	General			
fire	500000 BCE	Fire tamed	Initially, fire had to be found (eg. lightning strikes). Eventually, it became possible to start via friction caused by spinning sticks.			biped	General			
ceremonial-burial	200000 BCE	Ceremonial burial	Neanderthals were the first hominids to bury their dead rather than leaving their bodies to scavengers and rot. Food and floweres were often buried with the corpse.			biped	Culture			
art	20000 BCE	Art	Some of the earliest paintings were found in caves, seem to be drawn for ceremonial, religious purposes.			ceremonial-burial	Culture			
bow	20000 BCE	Bows and arrows	First object to slowly store energy and release it all at once. Much safer to hunt from a distance.			stone-tool	War			
oil-lamp	20000 BCE	Oil lamps	Torches make fire portable, but a primitive lamp is way more convenient.			fire	General			
animal-dom	12000 BCE	Animals domesticated	Dogs were first to be domesticated, followed by goats. This enabled hunter gatherers to become shepherds with a much more secure food supply.			biped	General			
agriculture	8000 BCE	Plants domesticated	Deliberate seed planting and harvesting allowed the same land area support a larger population, but bound farmers to their land. Cities emerged for protection.			animal-dom	General			
pottery	7000 BCE	Pottery	Gourds were hard to find, and baskets could only hold large, dry objects. Pottery began as a technique for waterproofing baskets, and enabled carrying liquids and powders.			biped	Culture			
fish-nets	6000 BCE	Linen	Linen made out of interwoven flax fibers enabled strong cords. Interleaving these cords enabled fishing nets and clothing.			stone-tool	General			
raft	6000 BCE	Rafts	Lashing logs together to form a floating wooden platform enabled people to cross longer stretches of water.			stone-tool	General			
sickle	6000 BCE	Sickles	Stone knives to help cut down stalks, and hand mills in the style of mortar and pestle.			stone-tool, agriculture	General			
irrigation	5000 BCE	Irrigation	Previously farmers had to rely on rainfall, suffered in droughts and built their farms near rivers, which could also flood. Irrigation ditches allowed farms to plant further from rivers and more deal with flooding.			agriculture	General			
scale	5000 BCE	Weight scales	For comparing weights or comparing to a reference weight.		Egypt	stone-tool	Math			
copper	4000 BCE	Copper	First obtained from metallic nuggets, metals (meaning "to search for" in Greek) were smelted using fire, and then molded into desired forms. Still fragile though.			fire, stone-tool	General			
